Company,Pizza Name,Type,Size,Price
Godfather's Pizza,"BLT Pizza (Original, Golden or Thin Crust)",Specialty Pizzas,Medium,1999
Godfather's Pizza,BLT Pizza (Mozza-Loaded Crust),Specialty Pizzas,Medium,2224
Godfather's Pizza,"BLT Pizza (Original, Golden or Thin Crust)",Specialty Pizzas,Large,2399
Godfather's Pizza,BLT Pizza (Mozza-Loaded Crust),Specialty Pizzas,Large,2623
Godfather's Pizza,BLT Pizza (Original or Thin Crust),Specialty Pizzas,Jumbo,2799
Godfather's Pizza,Buffalo Chicken Pizza (Original Crust),Specialty Pizzas,Mini,599
Godfather's Pizza,Buffalo Chicken Pizza (Original or Golden Crust),Specialty Pizzas,Small,1599
Godfather's Pizza,"Buffalo Chicken Pizza (Original, Golden or Thin Crust)",Specialty Pizzas,Medium,1999
Godfather's Pizza,Buffalo Chicken Pizza (Mozza-Loaded Crust),Specialty Pizzas,Medium,2224
Godfather's Pizza,"Buffalo Chicken Pizza (Original, Golden or Thin Crust)",Specialty Pizzas,Large,2399
Godfather's Pizza,Buffalo Chicken Pizza (Mozza-Loaded Crust),Specialty Pizzas,Large,2623
Godfather's Pizza,Buffalo Chicken Pizza (Original or Thin Crust),Specialty Pizzas,Jumbo,2799
Godfather's Pizza,Super Combo Pizza (Original or Golden Crust),Specialty Pizzas,Small,1699
Godfather's Pizza,"Super Combo Pizza (Original, Golden or Thin Crust)",Specialty Pizzas,Medium,2199
Godfather's Pizza,Super Combo Pizza (Mozza-Loaded Crust),Specialty Pizzas,Medium,2249
Godfather's Pizza,"Super Combo Pizza (Original, Golden or Thin Crust)",Specialty Pizzas,Large,2599
Godfather's Pizza,Super Combo Pizza (Mozza-Loaded Crust),Specialty Pizzas,Large,2649
Godfather's Pizza,Super Combo Pizza (Original or Thin Crust),Specialty Pizzas,Jumbo,2999
Godfather's Pizza,Super Hawaiian Pizza (Original or Golden Crust),Specialty Pizzas,Small,1699
Godfather's Pizza,"Super Hawaiian Pizza (Original, Golden or Thin Crust)",Specialty Pizzas,Medium,2199
Godfather's Pizza,Super Hawaiian Pizza (Mozza-Loaded Crust),Specialty Pizzas,Medium,2249
Godfather's Pizza,"Super Hawaiian Pizza (Original, Golden or Thin Crust)",Specialty Pizzas,Large,2599
Godfather's Pizza,Super Hawaiian Pizza (Mozza-Loaded Crust),Specialty Pizzas,Large,2649
Godfather's Pizza,Super Hawaiian Pizza (Original or Thin Crust),Specialty Pizzas,Jumbo,2999
Godfather's Pizza,Super Taco Pizza (Original or Golden Crust),Specialty Pizzas,Small,1699
Godfather's Pizza,"Super Taco Pizza (Original, Golden or Thin Crust)",Specialty Pizzas,Medium,2199
Godfather's Pizza,Super Taco Pizza (Mozza-Loaded Crust),Specialty Pizzas,Medium,2249
Godfather's Pizza,"Super Taco Pizza (Original, Golden or Thin Crust)",Specialty Pizzas,Large,2599
Godfather's Pizza,Super Taco Pizza (Mozza-Loaded Crust),Specialty Pizzas,Large,2649
Godfather's Pizza,Super Taco Pizza (Original or Thin Crust),Specialty Pizzas,Jumbo,2999
Godfather's Pizza,The Don (Original or Golden Crust),Specialty Pizzas,Small,1699
Godfather's Pizza,"The Don (Original, Golden or Thin Crust)",Specialty Pizzas,Medium,2199
Godfather's Pizza,The Don (Mozza-Loaded Crust),Specialty Pizzas,Medium,2249
Godfather's Pizza,"The Don (Original, Golden or Thin Crust)",Specialty Pizzas,Large,2599
Godfather's Pizza,The Don (Mozza-Loaded Crust),Specialty Pizzas,Large,2649
Godfather's Pizza,The Don (Original or Thin Crust),Specialty Pizzas,Jumbo,2999
Godfather's Pizza,Super Veggie Pizza (Original or Golden Crust),Specialty Pizzas,Small,1599
Godfather's Pizza,"Super Veggie Pizza (Original, Golden or Thin Crust)",Specialty Pizzas,Medium,2099
Godfather's Pizza,Super Veggie Pizza (Mozza-Loaded Crust),Specialty Pizzas,Medium,2249
Godfather's Pizza,"Super Veggie Pizza (Original, Golden or Thin Crust)",Specialty Pizzas,Large,2499
Godfather's Pizza,Super Veggie Pizza (Mozza-Loaded Crust),Specialty Pizzas,Large,2649
Godfather's Pizza,Super Veggie Pizza (Original or Thin Crust),Specialty Pizzas,Jumbo,2899
Godfather's Pizza,BBQ Bacon Cheeseburger Pizza (Original Crust),Specialty Pizzas,Mini,599
Godfather's Pizza,"BBQ Bacon Cheeseburger Pizza (Original, Golden or Thin Crust)",Specialty Pizzas,Small,1599
Godfather's Pizza,"BBQ Bacon Cheeseburger Pizza (Original, Golden or Thin Crust)",Specialty Pizzas,Medium,1999
Godfather's Pizza,BBQ Bacon Cheeseburger Pizza (Mozza-Loaded Crust),Specialty Pizzas,Medium,2224
Godfather's Pizza,"BBQ Bacon Cheeseburger Pizza (Original, Golden or Thin Crust)",Specialty Pizzas,Large,2399
Godfather's Pizza,BBQ Bacon Cheeseburger Pizza (Mozza-Loaded Crust),Specialty Pizzas,Large,2623
Godfather's Pizza,"BBQ Bacon Cheeseburger Pizza (Original, Golden or Thin Crust)",Specialty Pizzas,Jumbo,2799
Godfather's Pizza,Chipotle Chicken and Bacon Pizza (Original Crust),Specialty Pizzas,Mini,599
Godfather's Pizza,"Chipotle Chicken and Bacon Pizza (Original, Golden or Thin Crust)",Specialty Pizzas,Small,1599
Godfather's Pizza,"Chipotle Chicken and Bacon Pizza (Original, Golden or Thin Crust)",Specialty Pizzas,Medium,1999
Godfather's Pizza,Chipotle Chicken and Bacon Pizza (Mozza-Loaded Crust),Specialty Pizzas,Medium,2224
Godfather's Pizza,"Chipotle Chicken and Bacon Pizza (Original, Golden or Thin Crust)",Specialty Pizzas,Large,2399
Godfather's Pizza,Chipotle Chicken and Bacon Pizza (Mozza-Loaded Crust),Specialty Pizzas,Large,2623
Godfather's Pizza,"Chipotle Chicken and Bacon Pizza (Original, Golden or Thin Crust)",Specialty Pizzas,Jumbo,2799
Godfather's Pizza,"Margherita Pizza (Original, Golden or Thin Crust)",Specialty Pizzas,Medium,999
Godfather's Pizza,Margherita Pizza (Thin Crust),Specialty Pizzas,Large,1399
Godfather's Pizza,"Margherita Chicken Pizza (Original, Golden or Thin Crust)",Specialty Pizzas,Medium,1199
Godfather's Pizza,Margherita Chicken Pizza (Thin Crust),Specialty Pizzas,Large,1599
Godfather's Pizza,Thin Crust,Gluten-Free Pizzas,Medium,1999
Godfather's Pizza,Thin Crust,Gluten-Free Pizzas,Large,2399
Godfather's Pizza,Original Crust,Express Favorites,Mini,499
Godfather's Pizza,Original or Golden Crust,Express Favorites,Small,1269
Godfather's Pizza,"Original, Golden or Thin Crust",Express Favorites,Medium,1534
Godfather's Pizza,Mozza-Loaded Crust,Express Favorites,Medium,1524
Godfather's Pizza,"Original, Golden or Thin Crust",Express Favorites,Large,1869
Godfather's Pizza,Mozza-Loaded Crust,Express Favorites,Large,1874
Godfather's Pizza,Original or Thin Crust,Express Favorites,Jumbo,2199
IMO's Pizza,Deluxe Pizza,Specialty Pizzas,"Small (10"")",1270
IMO's Pizza,Deluxe Pizza,Specialty Pizzas,"Medium (12"")",1620
IMO's Pizza,Deluxe Pizza,Specialty Pizzas,"Large (14"")",1995
IMO's Pizza,Deluxe Pizza,Specialty Pizzas,"X Large (16"")",2385
IMO's Pizza,Veggie Pizza,Specialty Pizzas,"Small (10"")",1270
IMO's Pizza,Veggie Pizza,Specialty Pizzas,"Medium (12"")",1620
IMO's Pizza,Veggie Pizza,Specialty Pizzas,"Large (14"")",1995
IMO's Pizza,Veggie Pizza,Specialty Pizzas,"X Large (16"")",2385
IMO's Pizza,Cheese Pizza,Specialty Pizzas,"Small (10"")",930
IMO's Pizza,Cheese Pizza,Specialty Pizzas,"Medium (12"")",1160
IMO's Pizza,Cheese Pizza,Specialty Pizzas,"Large (14"")",1445
IMO's Pizza,Cheese Pizza,Specialty Pizzas,"X Large (16"")",1735
IMO's Pizza,All Meat Pizza,Specialty Pizzas,"Small (10"")",1270
IMO's Pizza,All Meat Pizza,Specialty Pizzas,"Medium (12"")",1620
IMO's Pizza,All Meat Pizza,Specialty Pizzas,"Large (14"")",1995
IMO's Pizza,All Meat Pizza,Specialty Pizzas,"X Large (16"")",2385
IMO's Pizza,BBQ Chicken Pizza,Specialty Pizzas,"Small (10"")",1270
IMO's Pizza,BBQ Chicken Pizza,Specialty Pizzas,"Medium (12"")",1620
IMO's Pizza,BBQ Chicken Pizza,Specialty Pizzas,"Large (14"")",1920
IMO's Pizza,BBQ Chicken Pizza,Specialty Pizzas,"X Large (16"")",2385
IMO's Pizza,Egg-Ceptional Pizza,Specialty Pizzas,"Small (10"")",1180
IMO's Pizza,Egg-Ceptional Pizza,Specialty Pizzas,"Medium (12"")",1495
IMO's Pizza,Egg-Ceptional Pizza,Specialty Pizzas,"Large (14"")",1865
IMO's Pizza,Egg-Ceptional Pizza,Specialty Pizzas,"X Large (16"")",2230
